Abu Dhabi	United Arab Emirates
Abuja	Nigeria
Accra	Ghana
Adamstown	Pitcairn Islands
Addis Ababa	Ethiopia
Aden 	Yemen
Algiers	Algeria
Alofi	Niue
Amman	Jordan
Amsterdam 	Netherlands
Andorra la Vella	Andorra
Ankara	Turkey
Antananarivo	Madagascar
Apia	Samoa
Ashgabat	Turkmenistan
Asmara	Eritrea
Astana	Kazakhstan
Asuncion	Paraguay
Athens	Greece
Avarua	Cook Islands
Baghdad	Iraq
Baku	Azerbaijan
Bamako	Mali
Bandar Seri Begawan	Brunei
Bangkok	Thailand
Bangui	Central African Republic
Banjul	The Gambia
Basseterre	Saint Kitts and Nevis
Beijing	China
Beirut	Lebanon
Belfast	Northern Ireland
Belgrade	Serbia
Belmopan	Belize
Berlin	Germany
Bern	Switzerland
Bishkek	Kyrgyzstan
Bissau	Guinea-Bissau
Bloemfontein 	South Africa
Bogota	Colombia
Brades 	Montserrat
Brasilia	Brazil
Bratislava	Slovakia
Brazzaville	Congo
Bridgetown	Barbados
Brussels	Belgium
Bucharest	Romania
Budapest	Hungary
Buenos Aires	Argentina
Cairo	Egypt
Camp Thunder Cove	British Indian Ocean Territory
Canberra	Australia
Caracas	Venezuela
Cardiff	Wales
Castries	Saint Lucia
Cetinje 	Montenegro
Charlotte Amalie	United States Virgin Islands
Chisinau	Moldova
Cockburn Town	Turks and Caicos Islands
Colombo 	Sri Lanka
Conakry	Guinea
Copenhagen	Denmark
Cotonou 	Benin
Dakar	Senegal
Damascus	Syria
Dar es Salaam 	Tanzania
Dhaka	Bangladesh
Dili	East Timor
Djibouti	Djibouti
Doha	Qatar
Douglas	Isle of Man
Dublin	Ireland
Dushanbe	Tajikistan
Edinburgh	Scotland
Flying Fish Cove	Christmas Island
Freetown	Sierra Leone
Funafuti	Tuvalu
Gaborone	Botswana
George Town	Cayman Islands
Georgetown	Ascension Island
Georgetown	Guyana
Gibraltar	Gibraltar
Gitega 	Burundi
Guatemala City	Guatemala
Gustavia	Saint Barthelemy
HagAtna	Guam
Hamilton	Bermuda
Hanoi	Vietnam
Harare	Zimbabwe
Hargeisa	Somaliland
Havana	Cuba
Helsinki	Finland
Honiara	Solomon Islands
Islamabad	Pakistan
Jakarta	Indonesia
Jamestown	Saint Helena
Jerusalem	Israel
Juba	South Sudan
Kabul	Afghanistan
Kampala	Uganda
Kathmandu	Nepal
Khartoum	Sudan
Kigali	Rwanda
King Edward Point	South Georgia and the South Sandwich Islands
Kingston	Jamaica
Kingston	Norfolk Island
Kingstown	Saint Vincent and the Grenadines
Kinshasa	Democratic Republic of the Congo
Kuala Lumpur 	Malaysia
Kuwait City	Kuwait
Kyiv	Ukraine
La Paz 	Bolivia
Laayoune 	Western Sahara
Libreville	Gabon
Lilongwe	Malawi
Lima	Peru
Lisbon	Portugal
Ljubljana	Slovenia
Lobamba 	Eswatini
Lome	Togo
London	United Kingdom
Luanda	Angola
Lusaka	Zambia
Luxembourg	Luxembourg
Madrid	Spain
Majuro	Marshall Islands
Malabo	Equatorial Guinea
Male	Maldives
Managua	Nicaragua
Manama	Bahrain
Manila	Philippines
Maputo	Mozambique
Mariehamn	Aland Islands
Marigot	Saint Martin
Maseru	Lesotho
Mata Utu	Wallis and Futuna
Mexico City	Mexico
Minsk	Belarus
Mogadishu	Somalia
Monaco	Monaco
Monrovia	Liberia
Montevideo	Uruguay
Moroni	Comoros
Moscow	Russia
Muscat	Oman
Nairobi	Kenya
Nassau	Bahamas
Naypyidaw	Myanmar
N'Djamena	Chad
New Delhi	India
Ngerulmud	Palau
Niamey	Niger
Nicosia	Cyprus
Nouakchott	Mauritania
Nuku'alofa	Tonga
Nuuk	Greenland
Oranjestad	Aruba
Oslo	Norway
Ottawa	Canada
Ouagadougou	Burkina Faso
Pago Pago	American Samoa
Palikir	Micronesia
Panama City	Panama
Papeete	French Polynesia
Paramaribo	Suriname
Paris	France
Philipsburg	Sint Maarten
Phnom Penh	Cambodia
Port Louis	Mauritius
Port Moresby	Papua New Guinea
Port of Spain	Trinidad and Tobago
Port Vila	Vanuatu
Port-au-Prince	Haiti
Prague 	Czech Republic
Praia	Cape Verde
Pristina	Kosovo
Pyongyang	North Korea
Quito	Ecuador
Rabat	Morocco
Reykjavik	Iceland
Riga	Latvia
Riyadh	Saudi Arabia
Road Town	British Virgin Islands
Rome	Italy
Roseau	Dominica
Rothera	British Antarctic Territory
Saipan	Northern Mariana Islands
San Jose	Costa Rica
San Juan	Puerto Rico
San Marino	San Marino
San Salvador	El Salvador
Santiago 	Chile
Santo Domingo	Dominican Republic
Sao Tome	Sao Tome and Principe
Sarajevo	Bosnia and Herzegovina
Seoul	South Korea
Singapore	Singapore
Skopje	North Macedonia
Sofia	Bulgaria
South Tarawa	Kiribati
St. George's	Grenada
St. Helier	Jersey
St. John's 	Antigua and Barbuda
St. Peter Port	Guernsey
St. Pierre	Saint Pierre and Miquelon
Stanley	Falkland Islands
Stepanakert	Artsakh
Stockholm	Sweden
Sukhumi	Abkhazia
Suva	Fiji
Taipei	Taiwan
Tallinn	Estonia
Tashkent	Uzbekistan
Tbilisi	Georgia
Tegucigalpa	Honduras
Tehran	Iran
Thimphu	Bhutan
Tirana	Albania
Tiraspol	Transnistria
Tokyo	Japan
Torshavn	Faroe Islands
Tripoli	Libya
Tskhinvali	South Ossetia
Tunis	Tunisia
Ulaanbaatar	Mongolia
Vaduz	Liechtenstein
Valletta	Malta
The Valley	Anguilla
Vatican City	Vatican City
Victoria	Seychelles
Vienna	Austria
Vientiane	Laos
Vilnius	Lithuania
Warsaw	Poland
Washington, D.C.	United States
Wellington	New Zealand
